Profil Desa,Unnamed: 1
Nama Desa,Desa Margahayu
Kecamatan,Pagaden Barat
Kabupaten/Kota,Kabupaten Subang
Nama Kepala Desa,"H.Ma'in Permana,S.Pd"
Kode Kemendagri,3213282004
Kode BPS,3213141004
Tahun Pembentukan,1980
Luas (Ha),3390
Jarak Ke Ibukota Kecamatan (km),0.5
Jarak Ke Ibukota Kabupaten (km),7
Jumlah RT,15
Jumlah RW,8
Koordinat Bujur,107.769523
Koordinat Lintang,-6.466846
Batas Wilayah Utara,Desa Munjul
Batas Wilayah Selatan,Desa Cidadap
Batas Wilayah Timur,Desa Pangsor
Batas Wilayah Barat,Desa Bendungan
Tahun untuk jumlah penduduk tahun terbaru,2023
Tahun untuk jumlah penduduk tahun lalu,2022
Tahun untuk data Kependudukan ,2023
Tahun untuk data Fasilitas Umum,2023
Tahun untuk data Pertanian,2023
