Usia,L,P,Unnamed: 3
00-04,74.0,75.0,149.0
05-09,79.0,79.0,158.0
10-14,71.0,71.0,142.0
15-19,62.0,63.0,125.0
20-24,67.0,68.0,135.0
25-29,85.0,86.0,171.0
30-34,80.0,81.0,161.0
35-39,85.0,86.0,171.0
40-44,82.0,83.0,165.0
45-49,101.0,102.0,203.0
50-54,104.0,104.0,208.0
55-59,109.0,110.0,219.0
60-64,90.0,91.0,181.0
65-69,73.0,74.0,147.0
70-74,53.0,54.0,107.0
>75,52.0,52.0,104.0
,,,
,,,
Total KK,1097.0,,
Total Penduduk,2546.0,,
Total Laki-Laki,1268.0,0.4980361351,
Total Perempuan,1278.0,0.5019638649,
Kepadatan Penduduk,662.0,,
